상품명,날짜,판매량,재고량
트렌디 스커트,2025-06-02,9,63
트렌디 스커트,2025-06-01,2,61
트렌디 스커트,2025-05-31,2,59
트렌디 스커트,2025-05-30,4,55
트렌디 스커트,2025-05-29,4,51
트렌디 스커트,2025-05-28,6,45
트렌디 스커트,2025-05-27,0,45
트렌디 스커트,2025-05-26,7,38
트렌디 스커트,2025-05-25,7,31
트렌디 스커트,2025-05-24,1,30
트렌디 스커트,2025-05-23,2,28
트렌디 스커트,2025-05-22,3,25
트렌디 스커트,2025-05-21,9,16
트렌디 스커트,2025-05-20,9,7
트렌디 스커트,2025-05-19,9,0
트렌디 스커트,2025-05-18,9,0
트렌디 스커트,2025-05-17,3,0
트렌디 스커트,2025-05-16,6,0
트렌디 스커트,2025-05-15,1,0
트렌디 스커트,2025-05-14,9,0
트렌디 스커트,2025-05-13,1,0
트렌디 스커트,2025-05-12,3,0
트렌디 스커트,2025-05-11,3,0
트렌디 스커트,2025-05-10,8,0
트렌디 스커트,2025-05-09,2,0
트렌디 스커트,2025-05-08,8,0
트렌디 스커트,2025-05-07,3,0
트렌디 스커트,2025-05-06,9,0
트렌디 스커트,2025-05-05,1,0
트렌디 스커트,2025-05-04,9,0
클래식 미디 원피스,2025-06-02,4,164
클래식 미디 원피스,2025-06-01,1,163
클래식 미디 원피스,2025-05-31,1,162
클래식 미디 원피스,2025-05-30,8,154
클래식 미디 원피스,2025-05-29,6,148
클래식 미디 원피스,2025-05-28,4,144
클래식 미디 원피스,2025-05-27,6,138
클래식 미디 원피스,2025-05-26,4,134
클래식 미디 원피스,2025-05-25,1,133
클래식 미디 원피스,2025-05-24,3,130
클래식 미디 원피스,2025-05-23,0,130
클래식 미디 원피스,2025-05-22,2,128
클래식 미디 원피스,2025-05-21,7,121
클래식 미디 원피스,2025-05-20,4,117
클래식 미디 원피스,2025-05-19,6,111
클래식 미디 원피스,2025-05-18,9,102
클래식 미디 원피스,2025-05-17,5,97
클래식 미디 원피스,2025-05-16,5,92
클래식 미디 원피스,2025-05-15,8,84
클래식 미디 원피스,2025-05-14,2,82
클래식 미디 원피스,2025-05-13,6,76
클래식 미디 원피스,2025-05-12,0,76
클래식 미디 원피스,2025-05-11,0,76
클래식 미디 원피스,2025-05-10,8,68
클래식 미디 원피스,2025-05-09,4,64
클래식 미디 원피스,2025-05-08,9,55
클래식 미디 원피스,2025-05-07,7,48
클래식 미디 원피스,2025-05-06,7,41
클래식 미디 원피스,2025-05-05,9,32
클래식 미디 원피스,2025-05-04,3,29
베이직 니트,2025-06-02,7,101
베이직 니트,2025-06-01,8,93
베이직 니트,2025-05-31,1,92
베이직 니트,2025-05-30,3,89
베이직 니트,2025-05-29,1,88
베이직 니트,2025-05-28,1,87
베이직 니트,2025-05-27,2,85
베이직 니트,2025-05-26,4,81
베이직 니트,2025-05-25,2,79
베이직 니트,2025-05-24,9,70
베이직 니트,2025-05-23,7,63
베이직 니트,2025-05-22,6,57
베이직 니트,2025-05-21,0,57
베이직 니트,2025-05-20,6,51
베이직 니트,2025-05-19,1,50
베이직 니트,2025-05-18,6,44
베이직 니트,2025-05-17,7,37
베이직 니트,2025-05-16,5,32
베이직 니트,2025-05-15,5,27
베이직 니트,2025-05-14,0,27
베이직 니트,2025-05-13,0,27
베이직 니트,2025-05-12,5,22
베이직 니트,2025-05-11,5,17
베이직 니트,2025-05-10,1,16
베이직 니트,2025-05-09,1,15
베이직 니트,2025-05-08,1,14
베이직 니트,2025-05-07,0,14
베이직 니트,2025-05-06,0,14
베이직 니트,2025-05-05,2,12
베이직 니트,2025-05-04,3,9
베이직 맥시 원피스,2025-06-02,8,134
베이직 맥시 원피스,2025-06-01,0,134
베이직 맥시 원피스,2025-05-31,2,132
베이직 맥시 원피스,2025-05-30,1,131
베이직 맥시 원피스,2025-05-29,7,124
베이직 맥시 원피스,2025-05-28,4,120
베이직 맥시 원피스,2025-05-27,1,119
베이직 맥시 원피스,2025-05-26,8,111
베이직 맥시 원피스,2025-05-25,1,110
베이직 맥시 원피스,2025-05-24,5,105
베이직 맥시 원피스,2025-05-23,9,96
베이직 맥시 원피스,2025-05-22,2,94
베이직 맥시 원피스,2025-05-21,8,86
베이직 맥시 원피스,2025-05-20,2,84
베이직 맥시 원피스,2025-05-19,8,76
베이직 맥시 원피스,2025-05-18,4,72
베이직 맥시 원피스,2025-05-17,7,65
베이직 맥시 원피스,2025-05-16,5,60
베이직 맥시 원피스,2025-05-15,0,60
베이직 맥시 원피스,2025-05-14,5,55
베이직 맥시 원피스,2025-05-13,0,55
베이직 맥시 원피스,2025-05-12,0,55
베이직 맥시 원피스,2025-05-11,7,48
베이직 맥시 원피스,2025-05-10,5,43
베이직 맥시 원피스,2025-05-09,8,35
베이직 맥시 원피스,2025-05-08,0,35
베이직 맥시 원피스,2025-05-07,2,33
베이직 맥시 원피스,2025-05-06,1,32
베이직 맥시 원피스,2025-05-05,7,25
베이직 맥시 원피스,2025-05-04,1,24
프리미엄 미디 원피스,2025-06-02,6,161
프리미엄 미디 원피스,2025-06-01,7,154
프리미엄 미디 원피스,2025-05-31,8,146
프리미엄 미디 원피스,2025-05-30,3,143
프리미엄 미디 원피스,2025-05-29,2,141
프리미엄 미디 원피스,2025-05-28,8,133
프리미엄 미디 원피스,2025-05-27,0,133
프리미엄 미디 원피스,2025-05-26,2,131
프리미엄 미디 원피스,2025-05-25,6,125
프리미엄 미디 원피스,2025-05-24,9,116
프리미엄 미디 원피스,2025-05-23,3,113
프리미엄 미디 원피스,2025-05-22,7,106
프리미엄 미디 원피스,2025-05-21,0,106
프리미엄 미디 원피스,2025-05-20,9,97
프리미엄 미디 원피스,2025-05-19,5,92
프리미엄 미디 원피스,2025-05-18,7,85
프리미엄 미디 원피스,2025-05-17,9,76
프리미엄 미디 원피스,2025-05-16,0,76
프리미엄 미디 원피스,2025-05-15,7,69
프리미엄 미디 원피스,2025-05-14,0,69
프리미엄 미디 원피스,2025-05-13,6,63
프리미엄 미디 원피스,2025-05-12,9,54
프리미엄 미디 원피스,2025-05-11,1,53
프리미엄 미디 원피스,2025-05-10,2,51
프리미엄 미디 원피스,2025-05-09,7,44
프리미엄 미디 원피스,2025-05-08,0,44
프리미엄 미디 원피스,2025-05-07,2,42
프리미엄 미디 원피스,2025-05-06,0,42
프리미엄 미디 원피스,2025-05-05,0,42
프리미엄 미디 원피스,2025-05-04,3,39
트렌디 블라우스,2025-06-02,0,135
트렌디 블라우스,2025-06-01,5,130
트렌디 블라우스,2025-05-31,3,127
트렌디 블라우스,2025-05-30,7,120
트렌디 블라우스,2025-05-29,1,119
트렌디 블라우스,2025-05-28,6,113
트렌디 블라우스,2025-05-27,3,110
트렌디 블라우스,2025-05-26,2,108
트렌디 블라우스,2025-05-25,3,105
트렌디 블라우스,2025-05-24,5,100
트렌디 블라우스,2025-05-23,1,99
트렌디 블라우스,2025-05-22,3,96
트렌디 블라우스,2025-05-21,1,95
트렌디 블라우스,2025-05-20,0,95
트렌디 블라우스,2025-05-19,1,94
트렌디 블라우스,2025-05-18,1,93
트렌디 블라우스,2025-05-17,1,92
트렌디 블라우스,2025-05-16,8,84
트렌디 블라우스,2025-05-15,1,83
트렌디 블라우스,2025-05-14,0,83
트렌디 블라우스,2025-05-13,0,83
트렌디 블라우스,2025-05-12,3,80
트렌디 블라우스,2025-05-11,1,79
트렌디 블라우스,2025-05-10,5,74
트렌디 블라우스,2025-05-09,9,65
트렌디 블라우스,2025-05-08,6,59
트렌디 블라우스,2025-05-07,7,52
트렌디 블라우스,2025-05-06,3,49
트렌디 블라우스,2025-05-05,4,45
트렌디 블라우스,2025-05-04,7,38
프리미엄 점퍼,2025-06-02,1,127
프리미엄 점퍼,2025-06-01,3,124
프리미엄 점퍼,2025-05-31,5,119
프리미엄 점퍼,2025-05-30,5,114
프리미엄 점퍼,2025-05-29,6,108
프리미엄 점퍼,2025-05-28,1,107
프리미엄 점퍼,2025-05-27,8,99
프리미엄 점퍼,2025-05-26,0,99
프리미엄 점퍼,2025-05-25,0,99
