상품명,날짜,판매량,재고량
슬림핏 가디건,2025-06-02,8,94
슬림핏 가디건,2025-06-01,2,92
슬림핏 가디건,2025-05-31,3,89
슬림핏 가디건,2025-05-30,9,80
슬림핏 가디건,2025-05-29,2,78
슬림핏 가디건,2025-05-28,2,76
슬림핏 가디건,2025-05-27,9,67
슬림핏 가디건,2025-05-26,9,58
슬림핏 가디건,2025-05-25,7,51
슬림핏 가디건,2025-05-24,0,51
슬림핏 가디건,2025-05-23,8,43
슬림핏 가디건,2025-05-22,4,39
슬림핏 가디건,2025-05-21,3,36
슬림핏 가디건,2025-05-20,4,32
슬림핏 가디건,2025-05-19,2,30
슬림핏 가디건,2025-05-18,3,27
슬림핏 가디건,2025-05-17,4,23
슬림핏 가디건,2025-05-16,2,21
슬림핏 가디건,2025-05-15,0,21
슬림핏 가디건,2025-05-14,7,14
슬림핏 가디건,2025-05-13,9,5
슬림핏 가디건,2025-05-12,7,0
슬림핏 가디건,2025-05-11,6,0
슬림핏 가디건,2025-05-10,6,0
슬림핏 가디건,2025-05-09,1,0
슬림핏 가디건,2025-05-08,0,0
슬림핏 가디건,2025-05-07,6,0
슬림핏 가디건,2025-05-06,6,0
슬림핏 가디건,2025-05-05,9,0
슬림핏 가디건,2025-05-04,3,0
프리미엄 청바지,2025-06-02,4,178
프리미엄 청바지,2025-06-01,9,169
프리미엄 청바지,2025-05-31,4,165
프리미엄 청바지,2025-05-30,8,157
프리미엄 청바지,2025-05-29,4,153
프리미엄 청바지,2025-05-28,9,144
프리미엄 청바지,2025-05-27,6,138
프리미엄 청바지,2025-05-26,3,135
프리미엄 청바지,2025-05-25,2,133
프리미엄 청바지,2025-05-24,6,127
프리미엄 청바지,2025-05-23,7,120
프리미엄 청바지,2025-05-22,5,115
프리미엄 청바지,2025-05-21,1,114
프리미엄 청바지,2025-05-20,2,112
프리미엄 청바지,2025-05-19,2,110
프리미엄 청바지,2025-05-18,7,103
프리미엄 청바지,2025-05-17,9,94
프리미엄 청바지,2025-05-16,2,92
프리미엄 청바지,2025-05-15,9,83
프리미엄 청바지,2025-05-14,7,76
프리미엄 청바지,2025-05-13,6,70
프리미엄 청바지,2025-05-12,2,68
프리미엄 청바지,2025-05-11,7,61
프리미엄 청바지,2025-05-10,0,61
프리미엄 청바지,2025-05-09,1,60
프리미엄 청바지,2025-05-08,8,52
프리미엄 청바지,2025-05-07,0,52
프리미엄 청바지,2025-05-06,4,48
프리미엄 청바지,2025-05-05,6,42
프리미엄 청바지,2025-05-04,5,37
슬림핏 미니 원피스,2025-06-02,2,97
슬림핏 미니 원피스,2025-06-01,0,97
슬림핏 미니 원피스,2025-05-31,7,90
슬림핏 미니 원피스,2025-05-30,6,84
슬림핏 미니 원피스,2025-05-29,9,75
슬림핏 미니 원피스,2025-05-28,1,74
슬림핏 미니 원피스,2025-05-27,5,69
슬림핏 미니 원피스,2025-05-26,6,63
슬림핏 미니 원피스,2025-05-25,5,58
슬림핏 미니 원피스,2025-05-24,8,50
슬림핏 미니 원피스,2025-05-23,9,41
슬림핏 미니 원피스,2025-05-22,6,35
슬림핏 미니 원피스,2025-05-21,5,30
슬림핏 미니 원피스,2025-05-20,7,23
슬림핏 미니 원피스,2025-05-19,8,15
슬림핏 미니 원피스,2025-05-18,8,7
슬림핏 미니 원피스,2025-05-17,3,4
슬림핏 미니 원피스,2025-05-16,9,0
슬림핏 미니 원피스,2025-05-15,7,0
슬림핏 미니 원피스,2025-05-14,4,0
슬림핏 미니 원피스,2025-05-13,4,0
슬림핏 미니 원피스,2025-05-12,8,0
슬림핏 미니 원피스,2025-05-11,5,0
슬림핏 미니 원피스,2025-05-10,9,0
슬림핏 미니 원피스,2025-05-09,5,0
슬림핏 미니 원피스,2025-05-08,9,0
슬림핏 미니 원피스,2025-05-07,8,0
슬림핏 미니 원피스,2025-05-06,8,0
슬림핏 미니 원피스,2025-05-05,3,0
슬림핏 미니 원피스,2025-05-04,7,0
클래식 니트,2025-06-02,4,149
클래식 니트,2025-06-01,7,142
클래식 니트,2025-05-31,9,133
클래식 니트,2025-05-30,9,124
클래식 니트,2025-05-29,1,123
클래식 니트,2025-05-28,4,119
클래식 니트,2025-05-27,4,115
클래식 니트,2025-05-26,0,115
클래식 니트,2025-05-25,5,110
클래식 니트,2025-05-24,0,110
클래식 니트,2025-05-23,0,110
클래식 니트,2025-05-22,1,109
클래식 니트,2025-05-21,9,100
