상품명,날짜,판매량,재고량
트렌디 숏팬츠,2025-06-02,6,150
트렌디 숏팬츠,2025-06-01,5,145
트렌디 숏팬츠,2025-05-31,6,139
트렌디 숏팬츠,2025-05-30,5,134
트렌디 숏팬츠,2025-05-29,7,127
트렌디 숏팬츠,2025-05-28,9,118
트렌디 숏팬츠,2025-05-27,7,111
트렌디 숏팬츠,2025-05-26,6,105
트렌디 숏팬츠,2025-05-25,1,104
트렌디 숏팬츠,2025-05-24,2,102
트렌디 숏팬츠,2025-05-23,3,99
트렌디 숏팬츠,2025-05-22,8,91
트렌디 숏팬츠,2025-05-21,3,88
트렌디 숏팬츠,2025-05-20,6,82
트렌디 숏팬츠,2025-05-19,9,73
트렌디 숏팬츠,2025-05-18,0,73
트렌디 숏팬츠,2025-05-17,7,66
트렌디 숏팬츠,2025-05-16,5,61
트렌디 숏팬츠,2025-05-15,7,54
트렌디 숏팬츠,2025-05-14,2,52
트렌디 숏팬츠,2025-05-13,9,43
트렌디 숏팬츠,2025-05-12,0,43
트렌디 숏팬츠,2025-05-11,1,42
트렌디 숏팬츠,2025-05-10,6,36
트렌디 숏팬츠,2025-05-09,4,32
트렌디 숏팬츠,2025-05-08,0,32
트렌디 숏팬츠,2025-05-07,5,27
트렌디 숏팬츠,2025-05-06,6,21
트렌디 숏팬츠,2025-05-05,8,13
트렌디 숏팬츠,2025-05-04,3,10
프리미엄 셔츠 원피스,2025-06-02,0,94
프리미엄 셔츠 원피스,2025-06-01,4,90
프리미엄 셔츠 원피스,2025-05-31,7,83
프리미엄 셔츠 원피스,2025-05-30,0,83
프리미엄 셔츠 원피스,2025-05-29,0,83
프리미엄 셔츠 원피스,2025-05-28,4,79
프리미엄 셔츠 원피스,2025-05-27,9,70
프리미엄 셔츠 원피스,2025-05-26,6,64
프리미엄 셔츠 원피스,2025-05-25,1,63
프리미엄 셔츠 원피스,2025-05-24,9,54
프리미엄 셔츠 원피스,2025-05-23,3,51
프리미엄 셔츠 원피스,2025-05-22,3,48
프리미엄 셔츠 원피스,2025-05-21,5,43
프리미엄 셔츠 원피스,2025-05-20,4,39
프리미엄 셔츠 원피스,2025-05-19,9,30
프리미엄 셔츠 원피스,2025-05-18,9,21
프리미엄 셔츠 원피스,2025-05-17,3,18
프리미엄 셔츠 원피스,2025-05-16,4,14
프리미엄 셔츠 원피스,2025-05-15,3,11
프리미엄 셔츠 원피스,2025-05-14,7,4
프리미엄 셔츠 원피스,2025-05-13,1,3
프리미엄 셔츠 원피스,2025-05-12,9,0
프리미엄 셔츠 원피스,2025-05-11,3,0
프리미엄 셔츠 원피스,2025-05-10,8,0
프리미엄 셔츠 원피스,2025-05-09,9,0
프리미엄 셔츠 원피스,2025-05-08,9,0
프리미엄 셔츠 원피스,2025-05-07,5,0
프리미엄 셔츠 원피스,2025-05-06,9,0
프리미엄 셔츠 원피스,2025-05-05,5,0
프리미엄 셔츠 원피스,2025-05-04,3,0
오버핏 패딩,2025-06-02,9,94
오버핏 패딩,2025-06-01,4,90
오버핏 패딩,2025-05-31,9,81
오버핏 패딩,2025-05-30,9,72
오버핏 패딩,2025-05-29,4,68
오버핏 패딩,2025-05-28,5,63
오버핏 패딩,2025-05-27,7,56
